Index,  Event Name,       Type,     Event ID,    Version,    Channel,      Level,     Opcode,       Task,            Keyword,        PID,        TID,     Processor Number,  Instance ID,   Parent Instance ID,                              Activity ID,                      Related Activity ID,           Clock-Time, Kernel(ms),   User(ms), User Data
1,  EventTrace,     Header,0,2,0,0,0,0,0,13856,1640,0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743573048245e+17,15,15,16777216,131082,19041,8,1.33127436073402e+17,156250,512,134217730,2,1,8,0,1800,9,6,1.33126383065e+17,10000000,1.3312743573048245e+17,1,0," ""PktMon"""," ""C:\Windows\system32\PktMon.etl"""
2,  EventTrace, PartitionInfoExtensionV2,0,2,0,0,80,0,0,13856,1640,0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743573048245e+17,15,15,0,0,0,0," """""," """"",0,,,,,,,,,,,,,,,
3,Microsoft-Windows-PktMon,0,20,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246872e+17,15,0,158," ""HTTP Protocol """," ""http.sys"""," ""HTTP""",,,,,,,,,,,,,,,,,,
4,Microsoft-Windows-PktMon,0,65,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246875e+17,15,0,158," ""IP Address """, 169.254.12.198,,,,,,,,,,,,,,,,,,,
5,Microsoft-Windows-PktMon,0,30,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246877e+17,15,0,158," ""MiniportIfIndex """,12,,,,,,,,,,,,,,,,,,,
6,Microsoft-Windows-PktMon,0,80,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246877e+17,15,0,158," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,,,
7,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246878e+17,15,0,158," ""Upper""",2," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
8,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.331274360724688e+17,15,0,158," ""Lower""",1," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
9,Microsoft-Windows-PktMon,0,20,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.331274360724688e+17,15,0,155," ""HTTP Protocol """," ""http.sys"""," ""HTTP""",,,,,,,,,,,,,,,,,,
10,Microsoft-Windows-PktMon,0,66,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.331274360724688e+17,15,0,155," ""IP Address """," ""fe80::5da5:d96c:8d44:cc6""",,,,,,,,,,,,,,,,,,,
11,Microsoft-Windows-PktMon,0,30,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246882e+17,15,0,155," ""MiniportIfIndex """,12,,,,,,,,,,,,,,,,,,,
12,Microsoft-Windows-PktMon,0,80,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246882e+17,15,0,155," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,,,
13,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246883e+17,15,0,155," ""Upper""",2," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
14,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246883e+17,15,0,155," ""Lower""",1," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
15,Microsoft-Windows-PktMon,0,20,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246885e+17,15,0,126," ""HTTP Protocol """," ""http.sys"""," ""HTTP""",,,,,,,,,,,,,,,,,,
16,Microsoft-Windows-PktMon,0,66,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246885e+17,15,0,126," ""IP Address """," ""fe80::e4a7:25e9:9257:b180""",,,,,,,,,,,,,,,,,,,
17,Microsoft-Windows-PktMon,0,30,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246886e+17,15,0,126," ""MiniportIfIndex """,19,,,,,,,,,,,,,,,,,,,
18,Microsoft-Windows-PktMon,0,80,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246886e+17,15,0,126," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,,,
19,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246886e+17,15,0,126," ""Upper""",2," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
20,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246888e+17,15,0,126," ""Lower""",1," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
21,Microsoft-Windows-PktMon,0,20,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246888e+17,15,0,125," ""HTTP Protocol """," ""http.sys"""," ""HTTP""",,,,,,,,,,,,,,,,,,
22,Microsoft-Windows-PktMon,0,66,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246888e+17,15,0,125," ""IP Address """," ""fe80::792b:66d6:d975:381a""",,,,,,,,,,,,,,,,,,,
23,Microsoft-Windows-PktMon,0,30,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.331274360724689e+17,15,0,125," ""MiniportIfIndex """,11,,,,,,,,,,,,,,,,,,,
24,Microsoft-Windows-PktMon,0,80,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.331274360724689e+17,15,0,125," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,,,
25,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.331274360724689e+17,15,0,125," ""Upper""",2," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
26,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246891e+17,15,0,125," ""Lower""",1," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
27,Microsoft-Windows-PktMon,0,20,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246891e+17,15,0,123," ""HTTP Protocol """," ""http.sys"""," ""HTTP""",,,,,,,,,,,,,,,,,,
28,Microsoft-Windows-PktMon,0,66,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246891e+17,15,0,123," ""IP Address """," ""fe80::1095:da8c:4c21:df7e""",,,,,,,,,,,,,,,,,,,
29,Microsoft-Windows-PktMon,0,30,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246893e+17,15,0,123," ""MiniportIfIndex """,7,,,,,,,,,,,,,,,,,,,
30,Microsoft-Windows-PktMon,0,80,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246893e+17,15,0,123," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,,,
31,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246894e+17,15,0,123," ""Upper""",2," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
32,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246894e+17,15,0,123," ""Lower""",1," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
33,Microsoft-Windows-PktMon,0,20,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246894e+17,15,0,122," ""HTTP Protocol """," ""http.sys"""," ""HTTP""",,,,,,,,,,,,,,,,,,
34,Microsoft-Windows-PktMon,0,66,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246894e+17,15,0,122," ""IP Address """," ""fe80::cd18:7b07:4061:6517""",,,,,,,,,,,,,,,,,,,
35,Microsoft-Windows-PktMon,0,30,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246896e+17,15,0,122," ""MiniportIfIndex """,9,,,,,,,,,,,,,,,,,,,
36,Microsoft-Windows-PktMon,0,80,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246896e+17,15,0,122," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,,,
37,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246896e+17,15,0,122," ""Upper""",2," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
38,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246898e+17,15,0,122," ""Lower""",1," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
39,Microsoft-Windows-PktMon,0,20,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246898e+17,15,0,121," ""HTTP Protocol """," ""http.sys"""," ""HTTP""",,,,,,,,,,,,,,,,,,
40,Microsoft-Windows-PktMon,0,66,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246898e+17,15,0,121," ""IP Address """," ""fe80::e911:84a5:5965:4cd7""",,,,,,,,,,,,,,,,,,,
41,Microsoft-Windows-PktMon,0,30,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246899e+17,15,0,121," ""MiniportIfIndex """,4,,,,,,,,,,,,,,,,,,,
42,Microsoft-Windows-PktMon,0,80,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246899e+17,15,0,121," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,,,
43,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246899e+17,15,0,121," ""Upper""",2," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
44,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246901e+17,15,0,121," ""Lower""",1," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
45,Microsoft-Windows-PktMon,0,20,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246901e+17,15,0,120," ""HTTP Protocol """," ""http.sys"""," ""HTTP""",,,,,,,,,,,,,,,,,,
46,Microsoft-Windows-PktMon,0,66,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246901e+17,15,0,120," ""IP Address """," ""::1""",,,,,,,,,,,,,,,,,,,
47,Microsoft-Windows-PktMon,0,30,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246901e+17,15,0,120," ""MiniportIfIndex """,1,,,,,,,,,,,,,,,,,,,
48,Microsoft-Windows-PktMon,0,80,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246902e+17,15,0,120," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,,,
49,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246902e+17,15,0,120," ""Upper""",2," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
50,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246902e+17,15,0,120," ""Lower""",1," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
51,Microsoft-Windows-PktMon,0,20,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246904e+17,15,0,119," ""HTTP Protocol """," ""http.sys"""," ""HTTP""",,,,,,,,,,,,,,,,,,
52,Microsoft-Windows-PktMon,0,65,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246904e+17,15,0,119," ""IP Address """, 169.254.177.128,,,,,,,,,,,,,,,,,,,
53,Microsoft-Windows-PktMon,0,30,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246904e+17,15,0,119," ""MiniportIfIndex """,19,,,,,,,,,,,,,,,,,,,
54,Microsoft-Windows-PktMon,0,80,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246904e+17,15,0,119," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,,,
55,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246906e+17,15,0,119," ""Upper""",2," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
56,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246906e+17,15,0,119," ""Lower""",1," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
57,Microsoft-Windows-PktMon,0,20,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246906e+17,15,0,118," ""HTTP Protocol """," ""http.sys"""," ""HTTP""",,,,,,,,,,,,,,,,,,
58,Microsoft-Windows-PktMon,0,65,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246906e+17,15,0,118," ""IP Address """, 169.254.56.26,,,,,,,,,,,,,,,,,,,
59,Microsoft-Windows-PktMon,0,30,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246907e+17,15,0,118," ""MiniportIfIndex """,11,,,,,,,,,,,,,,,,,,,
60,Microsoft-Windows-PktMon,0,80,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246907e+17,15,0,118," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,,,
61,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246907e+17,15,0,118," ""Upper""",2," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
62,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246909e+17,15,0,118," ""Lower""",1," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
63,Microsoft-Windows-PktMon,0,20,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246909e+17,15,0,116," ""HTTP Protocol """," ""http.sys"""," ""HTTP""",,,,,,,,,,,,,,,,,,
64,Microsoft-Windows-PktMon,0,65,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.331274360724691e+17,15,0,116," ""IP Address """, 169.254.223.126,,,,,,,,,,,,,,,,,,,
65,Microsoft-Windows-PktMon,0,30,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.331274360724691e+17,15,0,116," ""MiniportIfIndex """,7,,,,,,,,,,,,,,,,,,,
66,Microsoft-Windows-PktMon,0,80,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.331274360724691e+17,15,0,116," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,,,
67,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246912e+17,15,0,116," ""Upper""",2," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
68,Microsoft-Windows-PktMon,0,90,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246912e+17,15,0,116," ""Lower""",1," ""Rx """,0,0," ""Tx """,0,0,,,,,,,,,,,,,
69,Microsoft-Windows-PktMon,0,20,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246912e+17,15,0,115," ""HTTP Protocol """," ""http.sys"""," ""HTTP""",,,,,,,,,,,,,,,,,,
70,Microsoft-Windows-PktMon,0,65,0,0,4,0,0,2,12536,9460,6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,1.3312743607246912e+17,15,0,115," ""IP Address """, 169.254.101.23,,,,,,,,,,,,,,,,,,,
